domain,comparison,sample,category,n,value
source,block_distribution,before,bf1ea9217fc36c2e1e31d80c2d663c4dc98aab6a06e743243954f53594506929,1022,0.008221845007763288
source,block_distribution,before,9eea5483b5532a19ee2db0dced71e09a8ebf8d1084f9181974b40b96ae9dc3c5,1014,0.008157486142731873
source,block_distribution,before,0aeba9ade7a591f40ca83ca17fe0c529ce88df383be1079ade1b79077f4fbeda,1043,0.008390787028470754
source,block_distribution,before,4509883a3b35bbfaedd522a56822c57172694539d7a0118ea489857cbeb939ba,1125,0.009050465395042758
source,block_distribution,before,a68d8afc7b52ba0af7b0ef55c75e96029bfae80e3def182ba7d0f8abf0106349,1200,0.009653829754712276
source,block_distribution,before,cc12075ac47d5dd2f788358561b5f6190500e6313217950c077baff616fe651b,1002,0.008060947845184751
source,block_distribution,before,d481293cc2774e8084d647a76f7792aff7093032bf98585c8c7f04f9be89a075,1000,0.008044858128926897
source,block_distribution,before,70259620e5540f6f7260d41729c2dbef77e053f5146bff7bb6aacfe163e3c96a,1200,0.009653829754712276
source,block_distribution,before,67473297e43702a3c8a2e58252f27d20dff65b62f10b40eb4d48c18f121db71d,1200,0.009653829754712276
source,block_distribution,before,ad6026125f5ff4343c6bb21b5415cf070d8fc4370e93172f1152388adb641849,1200,0.009653829754712276
source,block_distribution,before,5e8be6b2d7e2d419db94054e7478e1a86b013663e897eb65fb1aa49ba050308e,1094,0.008801074793046025
source,block_distribution,before,6ea1c3dd7f05300fd40057addf8063e622e95708218d76fa3a5980a655630974,1179,0.009484887734004811
source,block_distribution,before,3c384ba67e04bb163c9b10f315848b5c98ec9b4fe2aebc2e0711d25e1c996858,815,0.00655655937507542
source,block_distribution,before,f218a0fa9046c2bfbf6b12ac20b9d015dbefc55c5f63690a0f9638d70235fb37,1000,0.008044858128926897
source,block_distribution,before,391ad2076ffc410c60265e47b50cebcbc92ff81c20a87d91f471ce6e7e80401c,1200,0.009653829754712276
source,block_distribution,before,37368385abf1ea597e50ac93cb4d043e75cfca8ce8856fb2294470a13d263ce7,1000,0.008044858128926897
source,block_distribution,before,70b11646f80e1d52fa6b04ed4f5e6f64484fd1d9d574ccd6f031fdcde050abbd,1000,0.008044858128926897
source,block_distribution,before,c8335c17b49145bc065a0eb495fd3f001d81e8fa03f8d90642bcf6184b2689c4,1200,0.009653829754712276
source,block_distribution,before,83b1e6c3986f8020650b26320f0f270429862d3cbec2505a49ef515f64a21c64,1200,0.009653829754712276
source,block_distribution,before,80ede8118165a0a4ed1554c0166af861299281de7e4696ab147ac975b8a3756b,1200,0.009653829754712276
source,block_distribution,before,5dd2f68e7c2951caaf398f2a11951735ab4ddb44205cd461614de292f63c3ced,1200,0.009653829754712276
source,block_distribution,before,56c280629a6008f49623318a459575847f062775d0e79e4733cb959feafb4168,1200,0.009653829754712276
source,block_distribution,before,6dd742a543c8c54e7fc6a0a5978308985a81ae3a99eaec48f222543063b1afc6,1200,0.009653829754712276
source,block_distribution,before,ef8c0dbcd3ef2b1e8add6a7d3e851800fa2ba9e242b339880c83fda82a9fb909,1001,0.008052902987055823
source,block_distribution,before,6f1e55b46fca7b9d1e1068fc672a2151ee6a90c68e9141257c87c0fc0ec36e9b,1006,0.008093127277700458
source,block_distribution,before,704a164d43bcf63de7ef91cfa2eb7e26b9c68cb56427971009860638bc98e971,1038,0.008350562737826119
source,block_distribution,before,75b828e95c3fa653022d0881f23fecaeff799b438cb3e644658927ca194534a3,1045,0.008406876744728608
source,block_distribution,before,61700cb3872830cdf68cdd6bb1f5e1dccb19f2275203d59c9991b9b3fa24bbab,1002,0.008060947845184751
source,block_distribution,before,e1c1a046f1698912dd5ed6de0fb86f550c1005d7edebf47e9e5e3470404a0647,1200,0.009653829754712276
source,block_distribution,before,7559c022454ec52f72a79e239fee4771bf3006714ea0739a6fcc41fe1b6be776,1200,0.009653829754712276
source,block_distribution,before,ad70c2978b8d5dd86ffd5edd67a0d546a1ef61431d8ea29d9fd372509636718e,1200,0.009653829754712276
source,block_distribution,before,1e18e22bba290685ad630653042a7a2306a353c460aeb7d4954565ddeccbd017,1200,0.009653829754712276
source,block_distribution,before,954422debf3e7363b3f429ff875c3ecfad1edbcd125e8b63e104cdbee69a925c,1200,0.009653829754712276
