shot_number,year,spatial_block_id,spatial_fold,missing_reason
141460600300426999,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460600300427002,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460600300427129,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460600300427189,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460600300427306,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460600300427552,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460600300427553,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460800300426665,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460800300426666,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460800300426689,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460800300426755,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141461100300426922,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141461100300426931,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141461100300426969,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141461100300427035,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141461100300427066,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141461100300427134,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141461100300427174,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850000200243603,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850000200243629,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850100200243673,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850100200243697,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850100200243707,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850200200243558,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850200200243650,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850300200243728,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850300200243925,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850300200243933,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850500200243639,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850500200243641,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850500200243708,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850500200243734,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850500200243738,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850500200243788,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850500200244002,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850500200244010,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
143850500200244053,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
