scope,domain,year,image_count,frozen_sample_n,sampled_n,valid_hh_n,valid_hv_n,qa_land_n,valid_palsar_n,missing_fraction,block_id_hash,qa_class,qa_count
block,source,2020,,200.0,,,,,200.0,0.0,472b6d06ec616afd1f38b3c825891e6bbaba9a6f80e2885986b432560a74d892,,
block,source,2020,,200.0,,,,,200.0,0.0,a80b2dea746366bb80ab6e1b08089d18ce49b0ff7c1c81b4fcdb489abf0c35c1,,
block,source,2020,,200.0,,,,,198.0,0.010000000000000009,3acec4a87584c5d44c329684a8e679f72ded322e1922f45a221fd9cd2215633e,,
block,source,2020,,200.0,,,,,200.0,0.0,1d3ef87a6b0e393d2d1f0f0f3f619ea28424f2e3a3004ffabf2786bfd3871ef9,,
block,source,2020,,200.0,,,,,200.0,0.0,97aef3ef1cfbef42801395d87f32b3628b23f6d3de28087198870d4f2550055b,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,f789525d6cbaaeeec671792bdba3add039cdc36b83c2cf509ae2e3f8e7a5aae0,,
block,source,2020,,200.0,,,,,200.0,0.0,7579552c5c868db022e7fa3b5cbe047e0c71d197ed6f13a00bad2c80ca32e56b,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,c10bb48ce438ecf3915cbfbfba26ff730b811c27511fc9b8cdb9f090abce2603,,
block,source,2020,,200.0,,,,,200.0,0.0,1523ef3f012acaaf0ca938225299249bf7e9cb76dcf662e16f24830ab88a2e02,,
block,source,2020,,200.0,,,,,198.0,0.010000000000000009,12d27f0f6a556be6c625a1c8e509e7aa9b8081bd07014e419d3aca57e1acbe80,,
block,source,2020,,200.0,,,,,200.0,0.0,409e344a63a2f0c94af7aad2fd68ed586b9454f5d739b14548f0b7d53362f924,,
block,source,2020,,200.0,,,,,200.0,0.0,d962105a3513bb67eb77b8fac3f0b9d5d3a3b3af2ceec04140f20971867791af,,
block,source,2020,,200.0,,,,,200.0,0.0,319ddfdec41de16f3e76200807d6206ddcae0c6591206fdddb187420ff4d8b9f,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,1664c5f5c125def96725710cd57bb3513e0de011200952707d03fed1a353aef5,,
block,source,2020,,200.0,,,,,200.0,0.0,9550fc5c7c1cc80e0e50bdebf6428f8aab57a254140a90690320cd464f3d0bc0,,
block,source,2020,,200.0,,,,,200.0,0.0,0e1e837254cb586aa2b87499026a0acccc5191fec2a1d559f97cd339fd5b84d6,,
block,source,2020,,200.0,,,,,200.0,0.0,3d87fafeac73fa453c0ac4e4a336532e3a15640aaf098cae811f3f86cb6dfcc7,,
block,source,2020,,200.0,,,,,200.0,0.0,eed5782b807285d5aacca0c949eda386ccfb9cfefc1444b776148647a70eb79a,,
block,source,2020,,200.0,,,,,200.0,0.0,dfdc18b49e82d051a38eae95731353e89a0bf96764b69d1143858ac0ec6ee166,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,d16983f22d4d342e94cea1643124232038e14dd1f23ec50d77ceb12c8399185e,,
block,source,2020,,200.0,,,,,194.0,0.030000000000000027,42739dc50fade03a4357ee9157cacc614cb8de7d0c92a44721fc01e4869d31ef,,
block,source,2020,,67.0,,,,,67.0,0.0,cf6ded0b2503cf4635b9b77c3e8ebb7eb1276ed50af07277e24fd420e882ecb8,,
