representation,outer_fold,inner_fold,model,config,R2,RMSE,MAE,Bias,N
sentinel1_sentinel2,2,4,random_forest,rf_half,0.4428017356476066,78.57701181389773,55.2003299294963,-0.43487730769681077,14718
sentinel1_sentinel2,2,4,xgboost,xgb_depth6,0.4429907673820356,78.56368190085334,55.10074640705028,-0.29029974969057937,14718
sentinel1_sentinel2,2,4,xgboost,xgb_depth8,0.4400542160532541,78.77050343911777,55.29320110778431,-0.3544354897345821,14718
sentinel1_sentinel2,3,0,random_forest,rf_sqrt,0.4441599644848617,81.83046745196,56.264600325434444,-1.1909294036992044,14808
sentinel1_sentinel2,3,0,random_forest,rf_half,0.44696612992304574,81.62364501111435,55.93622551479637,-0.9413082765096745,14808
sentinel1_sentinel2,3,0,xgboost,xgb_depth6,0.44386951251855866,81.85184474985404,56.00023157292802,-0.9315396431684918,14808
sentinel1_sentinel2,3,0,xgboost,xgb_depth8,0.4362554901186476,82.41025966200256,56.39977455821878,-0.9174655224712681,14808
sentinel1_sentinel2,3,1,random_forest,rf_sqrt,0.41059665220023367,84.7383981731229,56.08224952558665,2.8172611491334476,14995
sentinel1_sentinel2,3,1,random_forest,rf_half,0.4118981979497506,84.64478498194421,55.97513447121907,4.2704674336611985,14995
sentinel1_sentinel2,3,1,xgboost,xgb_depth6,0.4050599838908068,85.13547069187237,55.69349467968689,2.2363944226325723,14995
sentinel1_sentinel2,3,1,xgboost,xgb_depth8,0.40044409063132935,85.46509800081556,56.04681511002496,2.662165193286123,14995
sentinel1_sentinel2,3,2,random_forest,rf_sqrt,0.3671085978241314,87.13529258951601,55.834423431150704,2.0485373834156535,15473
sentinel1_sentinel2,3,2,random_forest,rf_half,0.36664773669512074,87.16701206095759,55.82173698250173,2.650930694617623,15473
sentinel1_sentinel2,3,2,xgboost,xgb_depth6,0.3694809282507415,86.97183027949335,55.10043065093977,-0.33447695529009297,15473
sentinel1_sentinel2,3,2,xgboost,xgb_depth8,0.36110699041154326,87.5474627444218,55.63032760612566,-0.2788816781574822,15473
sentinel1_sentinel2,3,4,random_forest,rf_sqrt,0.44193037732722396,78.54976015425349,55.34900205398701,-1.1389639619141283,14724
sentinel1_sentinel2,3,4,random_forest,rf_half,0.4481945204636223,78.1076688002349,54.869525168258235,-0.9449927893383311,14724
sentinel1_sentinel2,3,4,xgboost,xgb_depth6,0.4472635699531906,78.17352872151976,54.88259301305202,-0.15094929371339327,14724
sentinel1_sentinel2,3,4,xgboost,xgb_depth8,0.4388387847486438,78.76703452973828,55.150213470260596,-0.07263380997968814,14724
