representation,method,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
alphaearth,local_xgboost,500,0,42,500,26033,0.08619321048440476,83.20352151787507,54.439827797153434,-0.5168778425260435
conventional,bias_only,500,0,42,500,26033,-0.4228310482510913,103.82242877417264,73.57347860008582,3.1155755126302216
conventional,affine,500,0,42,500,26033,0.04518646539294613,85.04989873383143,58.523997883258865,4.880870734005449
conventional,local_xgboost,500,0,42,500,26033,0.024732321257286638,85.95604673562465,58.193057447531295,4.013929904715008
alphaearth,bias_only,500,0,43,500,26033,-0.15464041693060593,93.52719194004698,63.66564673332062,0.11869492047685909
alphaearth,affine,500,0,43,500,26033,0.05278354642578664,84.71086847234676,57.23419591949851,1.7181400409101675
alphaearth,local_xgboost,500,0,43,500,26033,0.08675986031805505,83.17772034556117,55.03553664074197,0.11995360867319918
conventional,bias_only,500,0,43,500,26033,-0.42169581350550756,103.78100208902309,73.41198194657751,-1.051897717731116
conventional,affine,500,0,43,500,26033,0.0445377872582744,85.07878429134675,57.926477711578706,1.6939817071738958
conventional,local_xgboost,500,0,43,500,26033,0.027065402151987716,85.85317113787804,58.03592534591067,1.872705964494148
alphaearth,bias_only,500,0,44,500,26033,-0.15507409394803728,93.54475445785856,63.80827083629375,1.816464388532885
alphaearth,affine,500,0,44,500,26033,0.05329553465870007,84.68797147241418,57.85135193585398,4.982643831342151
alphaearth,local_xgboost,500,0,44,500,26033,0.0774121562918334,83.60233002237281,55.32743705988005,2.2234604553383517
conventional,bias_only,500,0,44,500,26033,-0.4230904765411816,103.83189344236273,73.39346638792267,-3.41645869767509
conventional,affine,500,0,44,500,26033,0.044656099269441585,85.07351660332729,58.30666794681659,3.8378043124642054
conventional,local_xgboost,500,0,44,500,26033,0.017032347227846856,86.29470149108386,58.35472408093781,2.6636698494112783
alphaearth,bias_only,1000,0,42,1000,26033,-0.1546998318214785,93.52959824608693,63.60895067232118,-0.6813254495363693
alphaearth,affine,1000,0,42,1000,26033,0.05506334032687543,84.60886450872022,57.59555477990195,3.6179732129812994
alphaearth,local_xgboost,1000,0,42,1000,26033,0.11690497089948648,81.79339552909987,53.470292411727335,0.5433319665625452
conventional,bias_only,1000,0,42,1000,26033,-0.4217495141227272,103.78296209030775,73.40870378014667,-1.2301684620443383
conventional,affine,1000,0,42,1000,26033,0.04295312465560175,85.14930791385439,58.599977096680824,4.524801954476972
conventional,local_xgboost,1000,0,42,1000,26033,0.04643085859634344,84.99445857823058,57.393964066478944,3.6737648994766796
alphaearth,bias_only,1000,0,43,1000,26033,-0.15502547474430473,93.54278570132635,63.798498676952846,1.71207857822741
alphaearth,affine,1000,0,43,1000,26033,0.05096373119340358,84.79220371318323,57.670877204551616,4.015318730442451
alphaearth,local_xgboost,1000,0,43,1000,26033,0.10833967538435807,82.18910267045443,54.0334552334861,2.099020382600447
conventional,bias_only,1000,0,43,1000,26033,-0.42155214262009366,103.77575811030744,73.44085998483915,0.1344082430194305
conventional,affine,1000,0,43,1000,26033,0.04468707223192436,85.0721375186891,58.3655278591397,4.1511530106193115
conventional,local_xgboost,1000,0,43,1000,26033,0.05378696887810919,84.66598785919123,56.94967442367958,3.2862937978214655
alphaearth,bias_only,1000,0,44,1000,26033,-0.1549540431962766,93.53989312040586,63.7831511813388,1.545982299610649
alphaearth,affine,1000,0,44,1000,26033,0.0461123996967332,85.00864998872972,58.60605321288154,7.0760408190778685
alphaearth,local_xgboost,1000,0,44,1000,26033,0.10911073803941007,82.15355849946984,54.39530702673229,3.2185092356485634
conventional,bias_only,1000,0,44,1000,26033,-0.4225671454114699,103.81279997657364,73.3931605000384,-2.7762444385973253
conventional,affine,1000,0,44,1000,26033,0.04347683646127931,85.12600717424597,58.78301052662895,6.063344000816871
conventional,local_xgboost,1000,0,44,1000,26033,0.039863189331965754,85.28665428443271,57.9490254525752,5.586563007962697
alphaearth,bias_only,2500,0,42,2500,26033,-0.15482805543055167,93.53479109768261,63.75226091748205,1.1981660906922014
alphaearth,affine,2500,0,42,2500,26033,0.05358146615614112,84.67518142649092,57.86094075937119,4.7143002860130085
alphaearth,local_xgboost,2500,0,42,2500,26033,0.13342888211489035,81.02454906746553,53.46234781217893,3.214448352459229
